# EPyR Tools Export - Slice 1 of Rabi2D_GdCaWO4_13dB_3057G
# Original file: Rabi2D_GdCaWO4_13dB_3057G.DSC
# Data type: 2D Complex
# Full shape: (500, 1024)
# Slice index: 0
# Frequency: 9621228000.0
#
Field_G,Intensity
1574.0,213240.8340937542
1576.0,212336.0847453866
1578.0,211251.47830251983
1580.0,208363.79474611228
1582.0,206121.4106734184
1584.0,203866.3832464784
1586.0,204899.45645852748
1588.0,205146.8211818063
1590.0,206423.87287569235
1592.0,207773.7423737658
1594.0,208572.2940804938
1596.0,210260.6051950769
1598.0,212018.47301591432
1600.0,209316.47841964095
1602.0,207850.28152494764
1604.0,206580.99445253913
1606.0,208454.60732255355
1608.0,210159.36155689092
1610.0,210867.30885796403
1612.0,212438.14617200932
1614.0,214578.05783676953
1616.0,212446.0059450401
1618.0,211898.40380946716
1620.0,208803.85912621443
1622.0,205465.4833323593
1624.0,203824.78144229666
1626.0,205281.28451712296
1628.0,205783.67663641353
1630.0,206107.4083117829
1632.0,207689.56499545183
1634.0,208566.30144872397
1636.0,211877.6636953504
1638.0,211830.27044546773
1640.0,209813.381127134
1642.0,208047.1044451232
1644.0,206803.95927786294
1646.0,208946.1955552194
1648.0,209779.82135562992
1650.0,211118.84811404216
1652.0,212647.19922209182
1654.0,213163.95110806145
1656.0,213292.9855480484
1658.0,211421.86920231313
1660.0,208551.1748636291
1662.0,206108.90532191953
1664.0,204089.49943100946
1666.0,205516.71383369286
1668.0,205697.03442198673
1670.0,206413.950521761
1672.0,207568.46065093804
1674.0,208601.28307371459
1676.0,211318.86566040432
1678.0,211508.99124623518
1680.0,209399.25571023408
1682.0,207239.85142824246
1684.0,207251.98944762867
1686.0,209800.49112668924
1688.0,209822.0947231249
1690.0,210373.46939668988
1692.0,211955.07360051564
1694.0,212781.2695915691
1696.0,213134.06866336503
1698.0,210911.51879876075
1700.0,208371.81398884061
1702.0,205358.792794465
1704.0,204159.30829869112
1706.0,204895.1135825352
1708.0,206060.38697915713
1710.0,206214.09157717615
1712.0,207110.63346192535
1714.0,207926.66167185004
1716.0,211760.58657125034
1718.0,212029.9769490154
1720.0,209108.694783359
1722.0,208010.7123130922
1724.0,207459.33042406169
1726.0,209322.9755425811
1728.0,210360.91559507913
1730.0,210992.2671023751
1732.0,212311.45071804302
1734.0,213948.6787292691
1736.0,213411.16377781177
1738.0,211388.86580423295
1740.0,208357.72850796775
1742.0,205125.79247866417
1744.0,204318.73537441445
1746.0,205563.07587696775
1748.0,205605.92048139079
1750.0,206365.354982371
1752.0,208411.3901997681
1754.0,209354.76861299342
1756.0,211422.79501747206
1758.0,212081.6689414717
1760.0,209200.8979545738
1762.0,208168.720563393
1764.0,206556.5787962223
1766.0,208990.68413687727
1768.0,210152.9150333157
1770.0,211544.01944985348
1772.0,212405.4240291429
1774.0,212831.59577703685
1776.0,213303.86911633835
1778.0,211520.21777834857
1780.0,208062.22082108035
1782.0,206032.0310752675
1784.0,203985.2753631987
1786.0,205264.25314213868
1788.0,206090.72518674875
1790.0,205876.02058763424
1792.0,207111.8970267039
1794.0,208177.86249503095
1796.0,211130.51234958912
1798.0,211267.93370031336
1800.0,209424.80726026706
1802.0,207859.1608613871
1804.0,206282.78105552096
1806.0,209046.82576159821
1808.0,210316.55367326655
1810.0,211748.53033020088
1812.0,212120.92950956066
1814.0,212676.62574434455
1816.0,212595.21634552366
1818.0,211192.8351365169
1820.0,208560.69241350345
1822.0,205058.6700483547
1824.0,204951.45983622558
1826.0,204169.63312157858
1828.0,206302.81036621873
1830.0,205690.95731217743
1832.0,207631.53306759548
1834.0,209328.1380512424
1836.0,211145.73321760495
1838.0,211127.42578831394
1840.0,209601.11268788629
1842.0,207872.60816182586
1844.0,206890.2054134028
1846.0,208962.6676825313
1848.0,209926.96341823266
1850.0,211366.82693601662
1852.0,212972.56886275284
1854.0,213727.70363244912
1856.0,213334.9902313261
1858.0,211110.37565216923
1860.0,208332.20054758695
1862.0,205424.83418515886
1864.0,203959.03510509167
1866.0,204305.50732175575
1868.0,206222.9150409818
1870.0,205827.0324714419
1872.0,207890.15071667056
1874.0,209006.55354318442
1876.0,211331.14462615302
1878.0,210975.65715740758
1880.0,209805.5234020306
1882.0,207866.97935939705
1884.0,206798.46182213252
1886.0,208695.59728226182
1888.0,210339.42456182578
1890.0,211475.26212301996
1892.0,211636.72687886664
1894.0,213711.89285811866
1896.0,212794.58081680557
1898.0,211397.02870191907
1900.0,207853.11614695605
1902.0,206367.5006511442
1904.0,205029.95541627568
1906.0,204670.43765038464
1908.0,205652.44460496938
1910.0,206155.36636236275
1912.0,207273.4647464552
1914.0,208650.674806002
1916.0,210680.9004015314
1918.0,211070.36851486284
1920.0,209093.55401350852
1922.0,208284.2164087332
1924.0,206818.97618207088
1926.0,209408.8698813878
1928.0,210271.54664861338
1930.0,211406.2684453798
1932.0,212117.72550638005
1934.0,213143.6492603052
1936.0,213007.51491438042
1938.0,210890.17687886744
1940.0,208324.10840802846
1942.0,205813.07140218277
1944.0,204079.02161907774
1946.0,204311.1604832198
1948.0,205584.16068608008
1950.0,206604.88498581055
1952.0,207308.29987484825
1954.0,208781.19468237553
1956.0,210812.83971570613
1958.0,211281.38925376273
1960.0,209522.09693729205
1962.0,207871.5459941548
1964.0,206535.81524762238
1966.0,209468.78337833539
1968.0,210472.5019307748
1970.0,210603.15633912047
1972.0,212609.048772624
1974.0,212997.8773837899
1976.0,212696.86189034386
1978.0,211026.47121629078
1980.0,208052.26582039427
1982.0,205504.4272467141
1984.0,203964.79929880062
1986.0,204636.84519167116
1988.0,205891.31598977165
1990.0,206126.40709040654
1992.0,207733.09778896577
1994.0,208934.85985110287
1996.0,210987.7202587866
1998.0,211048.6485765782
2000.0,209466.3291414637
2002.0,207855.47069538487
2004.0,206523.36841142218
2006.0,209281.68317604868
2008.0,210402.52730658915
2010.0,211795.5114255257
2012.0,211988.24345231976
2014.0,213297.58320477992
2016.0,212920.22592511025
2018.0,210581.23294348907
2020.0,208711.89134306653
2022.0,205582.22830779903
2024.0,204047.3142214815
2026.0,204300.82504238692
2028.0,205894.93943271163
2030.0,206249.77974533694
2032.0,206417.51185400912
2034.0,208163.93028812655
2036.0,211588.02163874966
2038.0,211657.27383910058
2040.0,208688.75319240373
2042.0,207590.56560932627
2044.0,206789.43426829137
2046.0,209089.82892527318
2048.0,210835.33484926098
2050.0,210794.3561697039
